postcode,latitude,longitude
3768-vic,-12.4643506,130.842693
3769-vic,-12.4643506,130.842693
3770-vic,-37.711388,145.424457
3771-vic,-12.4643506,130.842693
3772-vic,-12.4643506,130.842693
3773-vic,-12.4643506,130.842693
3774-vic,-12.4643506,130.842693
3775-vic,-37.619303,145.375976
3776-vic,-12.4643506,130.842693
3777-vic,-37.588082,145.521687
3778-vic,-37.511203,145.722077
3779-vic,-37.511976,145.74727
3780-vic,-12.4643506,130.842693
3781-vic,-37.929884,145.512738
3782-vic,-37.920892,145.456995
3783-vic,-37.945293,145.633622
3784-vic,-12.4643506,130.842693
3785-vic,-37.878846,145.315741
3786-vic,-37.875256,145.335066
3787-vic,-37.867797,145.356786
3788-vic,-37.843737,145.385511
3789-vic,-37.891217,145.364879
3790-vic,-12.4643506,130.842693
3791-vic,-37.901253,145.411819
3792-vic,-37.89187,145.402157
3793-vic,-37.874152,145.42849
3794-vic,-12.4643506,130.842693
3795-vic,-37.834187,145.444504
3796-vic,-37.786077399999996,145.37863049999999
3797-vic,-37.845413,145.704746
3798-vic,-12.4643506,130.842693
3799-vic,-37.672889,145.893224
3800-vic,-37.910621,145.134766
